Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2
co2,124-38-9,chloroform,67-66-3,0.9323,50,0.06769999999999998,89.24,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,chloroform,67-66-3,0.9403,50,0.059699999999999975,89.79,C(=O)=O,C(Cl)(Cl)Cl
co2,124-38-9,m-xylene,108-38-3,0.044199999999999996,40,0.9558,7.0,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.11109999999999999,40,0.8889,14.6,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.2139,40,0.7861,26.8,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.2925,40,0.7075,36.5,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.3122,40,0.6878,39.0,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.36450000000000005,40,0.6355,46.3,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.5124,40,0.48760000000000003,59.6,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.6015,40,0.39849999999999997,70.1,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.0693,60,0.9307,9.8,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.0934,60,0.9066,12.0,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.1048,60,0.8952,16.7,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.1157,60,0.8843,19.6,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.1728,60,0.8271999999999999,29.2,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.2483,60,0.7517,38.4,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.2849,60,0.7151000000000001,45.1,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.3038,60,0.6961999999999999,49.1,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.3139,60,0.6860999999999999,52.4,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.38909999999999995,60,0.6109,68.0,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.5061,60,0.4939,80.0,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.6154999999999999,60,0.38450000000000006,91.8,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,m-xylene,108-38-3,0.6624,60,0.3376,96.8,C(=O)=O,CC1=CC(=CC=C1)C
co2,124-38-9,o-xylene,95-47-6,0.0536,40,0.9464,7.9,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.13019999999999998,40,0.8698,20.2,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.2546,40,0.7454000000000001,28.3,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.38780000000000003,40,0.6122,40.9,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.48560000000000003,40,0.5144,49.3,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.5429999999999999,40,0.4570000000000001,61.4,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.6583,40,0.3417,67.1,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.7631999999999999,40,0.23680000000000012,70.5,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.823,40,0.17700000000000005,73.4,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.1292,60,0.8708,19.4,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.3085,60,0.6915,53.7,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.48229999999999995,60,0.5177,78.0,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.6403,60,0.3597,94.6,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.7317,60,0.2683,100.5,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.7888,60,0.21120000000000005,106.4,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,o-xylene,95-47-6,0.8108,60,0.18920000000000003,107.8,C(=O)=O,CC1=CC=CC=C1C
co2,124-38-9,p-xylene,106-42-3,0.0703,40,0.9297,6.1,C(=O)=O,CC1=CC=C(C=C1)C
co2,124-38-9,p-xylene,106-42-3,0.1329,40,0.8671,15.0,C(=O)=O,CC1=CC=C(C=C1)C
co2,124-38-9,p-xylene,106-42-3,0.2414,40,0.7585999999999999,28.4,C(=O)=O,CC1=CC=C(C=C1)C
co2,124-38-9,p-xylene,106-42-3,0.4355,40,0.5645,43.8,C(=O)=O,CC1=CC=C(C=C1)C
co2,124-38-9,p-xylene,106-42-3,0.4483,40,0.5517000000000001,45.3,C(=O)=O,CC1=CC=C(C=C1)C
co2,124-38-9,p-xylene,106-42-3,0.6106,40,0.38939999999999997,63.7,C(=O)=O,CC1=CC=C(C=C1)C
co2,124-38-9,p-xylene,106-42-3,0.7939,40,0.20609999999999995,69.3,C(=O)=O,CC1=CC=C(C=C1)C
co2,124-38-9,p-xylene,106-42-3,0.1091,60,0.8909,14.9,C(=O)=O,CC1=CC=C(C=C1)C
co2,124-38-9,p-xylene,106-42-3,0.1893,60,0.8107,26.6,C(=O)=O,CC1=CC=C(C=C1)C
co2,124-38-9,p-xylene,106-42-3,0.275,60,0.725,37.4,C(=O)=O,CC1=CC=C(C=C1)C
co2,124-38-9,p-xylene,106-42-3,0.3287,60,0.6713,46.7,C(=O)=O,CC1=CC=C(C=C1)C
co2,124-38-9,p-xylene,106-42-3,0.413,60,0.587,59.8,C(=O)=O,CC1=CC=C(C=C1)C
co2,124-38-9,p-xylene,106-42-3,0.594,60,0.406,73.9,C(=O)=O,CC1=CC=C(C=C1)C
co2,124-38-9,p-xylene,106-42-3,0.6629999999999999,60,0.3370000000000001,82.5,C(=O)=O,CC1=CC=C(C=C1)C
